Fight Title,Fight Link,Fight Date,Fight Location
UFC 195: Lawler vs Condit,http://www.fightmetric.com/event-details/380e8b023290d091,"January 02, 2016","Las Vegas, Nevada, USA"
UFC on FOX: Dos Anjos vs. Cowboy 2,http://www.fightmetric.com/event-details/80d918336163b80c,"December 19, 2015","Orlando, Florida, USA"
UFC 194: Aldo vs McGregor,http://www.fightmetric.com/event-details/354808cf38d9d73c,"December 12, 2015","Las Vegas, Nevada, USA"
The Ultimate Fighter 22 Finale,http://www.fightmetric.com/event-details/20fbff570c678e1c,"December 11, 2015","Las Vegas, Nevada, USA"
UFC Fight Night: Namajunas vs. VanZant,http://www.fightmetric.com/event-details/dd39f1ca787a3d9d,"December 10, 2015","Las Vegas, Nevada, USA"
UFC Fight Night: Henderson vs Masvidal,http://www.fightmetric.com/event-details/4d636c3aa1105950,"November 28, 2015","Seoul, South Korea"
UFC Fight Night 78: Magny vs Gastelum,http://www.fightmetric.com/event-details/243b07fc65ccbb16,"November 21, 2015","Monterrey, Nuevo Leon, Mexico"
UFC 193: Rousey vs Holm,http://www.fightmetric.com/event-details/8d04923f2db59b7f,"November 14, 2015","Melbourne, Victoria, Australia"
UFC Fight Night: Belfort vs Henderson,http://www.fightmetric.com/event-details/5345f86680378fc1,"November 07, 2015","Sao Paulo, Sao Paulo, Brazil"
UFC Fight Night: Holohan vs Smolka,http://www.fightmetric.com/event-details/f3155a94ca420126,"October 24, 2015","Dublin, Leinster, Ireland"
UFC 192: Cormier vs Gustafsson,http://www.fightmetric.com/event-details/119ebea97e914dcf,"October 03, 2015","Houston, Texas, USA"
UFC Fight Night: Barnett vs Nelson,http://www.fightmetric.com/event-details/a4dd5c9a75763295,"September 26, 2015","Saitama, Japan"
UFC 191: Johnson vs Dodson 2,http://www.fightmetric.com/event-details/82f5c81f4e3c3eb5,"September 05, 2015","Las Vegas, Nevada, USA"
UFC Fight Night: Holloway vs Oliveira,http://www.fightmetric.com/event-details/2ce6541127b0e232,"August 23, 2015","Saskatoon, Saskatchewan, Canada"
UFC Fight Night: Teixeira vs Saint Preux,http://www.fightmetric.com/event-details/b71667c778b6d9e5,"August 08, 2015","Nashville, Tennessee, USA"
UFC 190: Rousey vs Correia,http://www.fightmetric.com/event-details/a9c45a8b21eabadc,"August 01, 2015","Rio de Janeiro, Rio de Janeiro, Brazil"
UFC on FOX: Dillashaw vs. Barao II,http://www.fightmetric.com/event-details/0c3838c8f7c620c2,"July 25, 2015","Chicago, Illinois, USA"
UFC Fight Night: Bisping vs Leites,http://www.fightmetric.com/event-details/ef7fa30364cbe7f2,"July 18, 2015","Glasgow, Scotland, United Kingdom"
UFC Fight Night: Mir vs Duffee,http://www.fightmetric.com/event-details/36877f0e62b25b96,"July 15, 2015","San Diego, California, USA"
The Ultimate Fighter 21 Finale,http://www.fightmetric.com/event-details/a890f9a791ed615d,"July 12, 2015","Las Vegas, Nevada, USA"
UFC 189: Mendes vs McGregor,http://www.fightmetric.com/event-details/3be081c29bf734d9,"July 11, 2015","Las Vegas, Nevada, USA"
UFC Fight Night: Machida vs Romero,http://www.fightmetric.com/event-details/86e388ed20761ad9,"June 27, 2015","Hollywood, Florida, USA"
