Fight Title,Attendance
UFC 195: Lawler vs Condit,NULL
UFC on FOX: Dos Anjos vs. Cowboy 2,NULL
UFC 194: Aldo vs McGregor,"16,516"
The Ultimate Fighter 22 Finale,NULL
UFC Fight Night: Namajunas vs. VanZant,"1,643"
UFC Fight Night: Henderson vs Masvidal,"12,156"
UFC Fight Night 78: Magny vs Gastelum,"10,410"
UFC 193: Rousey vs Holm,"56,214"
UFC Fight Night: Belfort vs Henderson,NULL
UFC Fight Night: Holohan vs Smolka,NULL
UFC 192: Cormier vs Gustafsson,"14,622"
UFC Fight Night: Barnett vs Nelson,"10,137"
UFC 191: Johnson vs Dodson 2,"10,873"
UFC Fight Night: Holloway vs Oliveira,"7,202"
UFC Fight Night: Teixeira vs Saint Preux,"7,539"
UFC 190: Rousey vs Correia,"14,723"
UFC on FOX: Dillashaw vs. Barao II,"10,795"
UFC Fight Night: Bisping vs Leites,"10,451"
UFC Fight Night: Mir vs Duffee,"5,471"
The Ultimate Fighter 21 Finale,"4,844"
UFC 189: Mendes vs McGregor,"16,019"
UFC Fight Night: Machida vs Romero,"5,604"
UFC Fight Night: Jedrzejczyk vs Penne,"8,155"
UFC 188: Velasquez vs Werdum,"21,036"
UFC Fight Night: Boetsch vs Henderson,"6,231"
UFC Fight Night: Condit vs Alves,"3,500"
UFC 187: Johnson vs Cormier,"12,615"
UFC Fight Night: Edgar vs Faber,"13,446"
UFC Fight Night: Miocic vs Hunt,"7,984"
UFC 186: Johnson vs Horiguchi,"10,154"
UFC Fight Night: Machida vs Rockhold,"13,306"
UFC Fight Night: Gonzaga vs Cro Cop 2,"10,000"
UFC Fight Night: Mendes vs Lamas,NULL
UFC Fight Night: Maia vs LaFlare,"7,707"
UFC 185: Pettis vs Dos Anjos,"17,160"
UFC 184: Rousey vs Zingano,"17,654"
UFC Fight Night: Bigfoot vs Mir,"5,080"
UFC Fight Night: Henderson vs Thatch,"5,807"
UFC 183: Silva vs Diaz,"13,114"
UFC Fight Night: Gustafsson vs Johnson,"30,000"
UFC Fight Night: McGregor vs Siver,"13,828"
UFC 182: Jones vs Cormier,"11,575"
UFC Fight Night: Machida vs Dollaway,NULL
UFC Fight Night: Dos Santos vs Miocic,"15,300"
The Ultimate Fighter 20 Finale,"1,800"
UFC 181: Hendricks vs Lawler II,"9,617"
UFC Fight Night: Edgar vs Swanson,"10,131"
UFC 180: Werdum vs Hunt,"21,000"
UFC Fight Night 56: Shogun vs Saint Preux,"5,671"
UFC Fight Night: Rockhold vs Bisping,"9,904"
UFC 179: Aldo vs Mendes 2,"11,415"
UFC Fight Night: MacDonald vs Saffiedine,"10,782"
UFC Fight Night: Nelson vs Story,"10,026"
UFC 178: Johnson vs Cariaso,"10,544"
UFC Fight Night: Hunt vs Nelson,"12,395"
UFC Fight Night: Silva vs Arlovski,"7,649"
UFC Fight Night: Souza vs Mousasi,NULL
UFC 177: Dillashaw vs Soto,"11,100"
UFC Fight Night: Henderson vs Dos Anjos,"7,119"
UFC Fight Night: Bisping vs Le,"7,022"
UFC Fight Night: Bader vs Saint Preux,"5,329"
UFC on Fox: Lawler vs Brown,"11,482"
UFC Fight Night: McGregor vs Brandao,"9,500"
UFC Fight Night: Cerrone vs Miller,"4,115"
The Ultimate Fighter 19 Finale,"6,500"
UFC 175: Weidman vs Machida,"10,088"
UFC Fight Night: Swanson vs Stephens,"9,227"
UFC Fight Night: Te Huna vs Marquardt,"8,089"
UFC 174: Johnson vs Bagautinov,"13,506"
UFC Fight Night: Henderson vs Khabilov,"8,775"
TUF Brazil Finale: Miocic vs Maldonado,"8,986"
UFC Fight Night: Munoz vs Mousasi,"8,000"
UFC 173: Barao vs Dillashaw,"11,036"
UFC Fight Night: Brown vs Silva,"6,143"
UFC 172: Jones vs Teixeira,"13,485"
UFC on FOX: Werdum vs Browne,"17,000"
UFC Fight Night: Bisping vs Kennedy,"5,029"
UFC Fight Night: Minotauro vs Nelson,"7,963"
UFC Fight Night: Shogun vs Henderson,"6,828"
UFC 171: Hendricks vs Lawler,"19,324"
UFC Fight Night: Gustafsson vs Manuwa,"14,604"
UFC Fight Night: Kim vs Hathaway,"6,000"
UFC 170: Rousey vs McMann,"10,217"
UFC Fight Night: Machida vs Mousasi,"7,511"
UFC 169: Barao vs Faber 2,"14,308"
UFC on FOX: Henderson vs Thomson,"10,895"
UFC Fight Night: Rockhold vs Philippou,"5,822"
UFC Fight Night: Saffiedine vs Lim,"5,216"
UFC 168: Weidman vs Silva 2,"15,650"
UFC on FOX 9,"11,573"
UFC Fight Night: Hunt vs Bigfoot,"11,393"
The Ultimate Fighter 18 Finale,"4,346"
UFC 167: St-Pierre vs Hendricks,"14,856"
UFC Fight Night: Belfort vs Henderson,"10,565"
UFC Fight Night: Fight for the Troops,NULL
UFC Fight Night: Machida vs Munoz,"10,355"
UFC 166: Velasquez vs Dos Santos 3,"17,238"
UFC Fight Night: Maia vs Shields,"6,621"
UFC 165: Jones vs Gustafsson,"15,504"
UFC Fight Night: Teixeira vs Bader,"5,126"
UFC 164: Henderson vs Pettis 2,"9,178"
UFC Fight Night: Condit vs Kampmann 2,"6,417"
UFC Fight Night: Shogun vs Sonnen,"14,181"
UFC 163: Aldo vs Jung,"13,873"
UFC on FOX: Johnson vs Moraga,"8,967"
UFC 162: Silva vs Weidman,"12,964"
UFC 161: Evans vs Henderson,"14,754"
UFC on FUEL TV 10,"6,286"
UFC 160: Velasquez vs Silva 2,"12,380"
UFC on FX 8,"7,642"
UFC 159: Jones vs Sonnen,"15,227"
UFC on FOX: Henderson vs Melendez,"13,506"
The Ultimate Fighter 17 Finale,"5,382"
UFC on FUEL TV 9: Mousasi vs Latifi,"14,506"
UFC 158: St-Pierre vs Diaz,"20,145"
UFC on FUEL TV: Japan,"14,682"
UFC 157: Rousey vs Carmouche,"13,257"
UFC on FUEL TV: Barao vs McDonald,"10,349"
UFC 156: Aldo vs Edgar,"10,275"
UFC on Fox: Johnson vs Dodson,"16,091"
UFC on FX: Belfort vs Bisping,"9,116"
UFC 155: Dos Santos vs Velasquez II,"13,561"
The Ultimate Fighter 16 Finale,"2,427"
UFC on FX: Sotiropoulos vs Pearson,"5,133"
UFC on Fox: Henderson vs Diaz,"14,412"
UFC 154: St-Pierre vs Condit,"17,249"
UFC Macao: Franklin vs Le,"8,415"
UFC 153: Silva vs Bonnar,"16,844"
UFC on FX: Browne vs Bigfoot,"7,055"
UFC on FUEL TV: Struve vs Miocic,"7,241"
UFC 152: Jones vs Belfort,"16,800"
UFC 150: Henderson vs Edgar II,"13,027"
UFC on FOX: Shogun vs Vera,"16,080"
UFC 149: Faber vs Barao,"16,089"
UFC on FUEL TV: Munoz vs Weidman,"4,250"
UFC 148: Silva vs Sonnen 2,"15,104"
UFC 147: Silva vs Franklin 2,"16,643"
UFC on FX: Maynard vs Guida,"4,652"
UFC on FX: Johnson vs McCall,"6,635"
The Ultimate Fighter LIVE Finale,"1,628"
UFC 146: Dos Santos vs Mir,"14,674"
UFC on FUEL TV: Korean Zombie vs Piorier,"6,668"
UFC on FOX: Diaz vs Miller,"10,788"
UFC 145: Jones vs Evans,"15,545"
UFC on FUEL TV: Gustafsson vs Silva,"15,428"
UFC on FX: Alves vs Kampmann,"14,537"
UFC 144: Edgar vs Henderson,NULL
UFC on FUEL TV: Sanchez vs Ellenberger,"7,120"
UFC 143: Diaz vs Condit,"9,015"
UFC on FOX: Evans vs Davis,"16,963"
UFC on FX: Guillard vs Miller,NULL
UFC RIO: Aldo vs Mendes,NULL
UFC 141: Lesnar vs Overeem,NULL
UFC 140: Jones vs Machida,"18,303"
The Ultimate Fighter 14 Finale: Team Bisping vs Team Miller,"1,909"
UFC 139: Shogun vs Henderson,"13,832"
UFC on Fox: Velasquez vs Dos Santos,"11,607"
UFC 138: Leben vs Munoz,"10,823"
UFC 137: Penn vs Diaz,"10,313"
UFC 136: Edgar vs Maynard 3,"16,146"
UFC LIVE 6: Cruz vs Johnson,"9,380"
UFC 135: Jones vs Rampage,"16,344"
UFC Fight Night Live: Shields vs Ellenberger,"7,112"
UFC RIO: Silva vs Okami,NULL
UFC LIVE 5: Hardy vs Lytle,"6,751"
UFC 133: Evans vs Ortiz 2,"11,583"
UFC 132: Cruz vs Faber,"13,109"
UFC Live on Versus: Kongo vs Barry,"7,792"
UFC 131: Dos Santos vs Carwin,"14,685"
The Ultimate Fighter Finale: Team Lesnar vs Team Dos Santos,"2,035"
UFC 130: Rampage vs Hamill,"12,753"
UFC 129: St-Pierre vs Shields,"55,724"
UFC Fight Night Live: Nogueira vs Davis,"13,741"
UFC 128: Shogun vs Jones,"12,619"
UFC on VERSUS: Sanchez vs Kampmann,"8,319"
UFC 127: Penn vs Fitch,"18,186"
UFC 126: Silva vs Belfort,"9,667"
UFC Fight Night: Fight for the Troops 2,"3,200"
UFC 125: Resolution,"12,874"
UFC 124: St-Pierre vs Koscheck 2,"23,152"
The Ultimate Fighter 12: Team GSP vs Team Koscheck,"1,903"
UFC 123: Rampage vs Machida,"16,404"
UFC 122: Marquardt vs Okami,"8,421"
UFC 121: Lesnar vs Velasquez,"14,856"
UFC 120: Bisping vs Akiyama,"17,133"
UFC 119: Mir vs Cro Cop,"15,811"
UFC Fight Night: Marquardt vs Palhares,"7,724"
UFC 118: Edgar vs Penn 2,"14,168"
UFC 117: Silva vs Sonnen,"12,971"
UFC LIVE: Jones vs Matyushenko,"8,132"
UFC 116: Lesnar vs Carwin,"12,740"
The Ultimate Fighter FINALE: Team Liddell vs Team Ortiz,"1,889"
UFC 115: Liddell vs Franklin,"17,669"
UFC 114: Rampage vs Evans,"14,996"
UFC 113: Machida vs Shogun 2,"17,647"
UFC 112: Invincible,"11,008"
UFC Fight Night: Florian vs Gomi,"7,700"
UFC 111: St-Pierre vs Hardy,"17,000"
UFC on Versus: Vera vs Jones,"6,443"
UFC 110: Nogueira vs Velasquez,"17,831"
UFC 109: Relentless,"10,687"
UFC Fight Night: Maynard vs Diaz,"8,078"
UFC 108: Evans vs Silva,"13,255"
UFC 107: Penn vs Sanchez,"13,896"
The Ultimate Fighter: Heavyweights Finale,"1,791"
UFC 106: Ortiz vs Griffin 2,"10,529"
UFC 105: Couture vs Vera,"16,693"
UFC 104: Machida vs Shogun,"14,892"
UFC 103: Franklin vs Belfort,"17,428"
UFC Fight Night: Diaz vs Guillard,"9,490"
UFC 102: Couture vs Nogueira,"16,088"
UFC 101: Declaration,"17,411"
UFC 100,"10,871"
The Ultimate Fighter: Team US vs Team UK Finale,"2,217"
UFC 99: The Comeback,"12,800"
UFC 98: Evans vs Machida,"12,606"
UFC 97: Redemption,"21,451"
UFC Fight Night: Condit vs Kampmann,"10,267"
UFC 96: Jackson vs Jardine,"17,033"
UFC 95: Sanchez vs Stevenson,"13,268"
UFC Fight Night: Lauzon vs Stephens,"7,596"
UFC 94: St-Pierre vs Penn 2,"14,885"
UFC 93: Franklin vs Henderson,"9,345"
UFC 92: The Ultimate 2008,"14,166"
The Ultimate Fighter Finale: Team Nog vs Team Mir,"1,853"
UFC Fight Night - Fight for the Troops,"10,000"
UFC 91: Couture vs Lesnar,"14,272"
UFC 90: Silva vs Cote,"15,539"
UFC 89: Bisping vs Leben,"9,512"
UFC Fight Night: Diaz vs Neer,"7,000"
UFC 88: Breakthrough,"14,736"
UFC 87: Seek And Destroy,"15,082"
UFC: Silva vs Irvin,"2,071"
UFC 86: Jackson vs Griffin,"10,990"
The Ultimate Fighter Finale: Team Rampage vs Team Forrest,"2,140"
UFC 85: Bedlam,"15,327"
UFC 84: Ill Will,"14,773"
UFC 83: Serra vs St-Pierre 2,"21,390"
UFC Fight Night: Florian vs Lauzon,"7,000"
UFC 82: Pride of a Champion,"16,326"
UFC 81: Breaking Point,"10,681"
UFC Fight Night: Swick vs Burkman,"2,471"
UFC 80: Rapid Fire,"8,214"
UFC 79: Nemesis,"11,075"
The Ultimate Fighter: Team Serra vs Team Hughes Finale,"2,449"
UFC 78: Validation,"14,071"
UFC 77: Hostile Territory,"16,054"
UFC 76: Knockout,"14,087"
UFC Fight Night: Thomas vs Florian,"1,678"
UFC 75: Champion vs Champion,"16,235"
UFC 74: Respect,"11,065"
UFC 73: Stacked,"14,371"
The Ultimate Fighter 5 Finale,"3,000"
UFC 72: Victory,"9,000"
UFC Fight Night: Stout vs Fisher,"5,100"
UFC 71: Liddell vs Jackson,"14,727"
UFC 70: Nations Collide,"15,114"
UFC 69: Shootout,"15,269"
UFC Fight Night: Stevenson vs Guillard,"1,734"
UFC 68: The Uprising,"19,079"
UFC 67: All or Nothing,"10,787"
UFC Fight Night: Evans vs Salmon,"5,287"
UFC 66: Liddell vs Ortiz 2,"13,761"
UFC Fight Night: Sanchez vs Riggs,"3,000"
UFC 65: Bad Intentions,"14,666"
The Ultimate Fighter 4 Finale,962
UFC 64: Unstoppable,"10,773"
Ortiz vs Shamrock 3: The Final Chapter,NULL
UFC 63: Hughes vs Penn,"12,604"
UFC 62: Liddell vs Sobral,"10,503"
