Fight Name,Fight Link,Attendance,Fighter One,Fighter Two
UFC 195: Lawler vs Condit,http://www.fightmetric.com/fight-details/f079cb2db8dbbf04,NULL,Robbie Lawler,Carlos Condit
UFC 195: Lawler vs Condit,http://www.fightmetric.com/fight-details/f2916c10b7ecfcee,NULL,Stipe Miocic,Andrei Arlovski
UFC 195: Lawler vs Condit,http://www.fightmetric.com/fight-details/454861874ecc52d7,NULL,Kelvin Gastelum,Kyle Noke
UFC 195: Lawler vs Condit,http://www.fightmetric.com/fight-details/050eb872a69c66bd,NULL,Albert Tumenov,Lorenz Larkin
UFC 195: Lawler vs Condit,http://www.fightmetric.com/fight-details/71499934c065fecb,NULL,Diego Brandao,Brian Ortega
UFC 195: Lawler vs Condit,http://www.fightmetric.com/fight-details/a19d619f1b9bee7b,NULL,Michael McDonald,Masanori Kanehara
UFC 195: Lawler vs Condit,http://www.fightmetric.com/fight-details/595557b808febe27,NULL,Justine Kish,Nina Ansaroff
UFC 195: Lawler vs Condit,http://www.fightmetric.com/fight-details/99a7172fb7438244,NULL,Drew Dober,Scott Holtzman
UFC 195: Lawler vs Condit,http://www.fightmetric.com/fight-details/5337461354f23b98,NULL,Abel Trujillo,Tony Sims
UFC 195: Lawler vs Condit,http://www.fightmetric.com/fight-details/4fa02674b920ff0a,NULL,Dustin Poirier,Joe Duffy
UFC 195: Lawler vs Condit,http://www.fightmetric.com/fight-details/b46b27222e62aec1,NULL,Joe Soto,Michinori Tanaka
UFC 195: Lawler vs Condit,http://www.fightmetric.com/fight-details/d5778494ce663d7f,NULL,Edgar Garcia,Sheldon Westcott
UFC on FOX: Dos Anjos vs. Cowboy 2,http://www.fightmetric.com/fight-details/81f287d035190506,NULL,Rafael dos Anjos,Donald Cerrone
UFC on FOX: Dos Anjos vs. Cowboy 2,http://www.fightmetric.com/fight-details/1f0254eeb2025e4f,NULL,Alistair Overeem,Junior Dos Santos
UFC on FOX: Dos Anjos vs. Cowboy 2,http://www.fightmetric.com/fight-details/4942323a5d5a6594,NULL,Nate Diaz,Michael Johnson
UFC on FOX: Dos Anjos vs. Cowboy 2,http://www.fightmetric.com/fight-details/95ead23dc0c73285,NULL,Karolina Kowalkiewicz,Randa Markos
UFC on FOX: Dos Anjos vs. Cowboy 2,http://www.fightmetric.com/fight-details/164f56eb25d6a9b4,NULL,Charles Oliveira,Myles Jury
UFC on FOX: Dos Anjos vs. Cowboy 2,http://www.fightmetric.com/fight-details/3fc9fea36fc7ec37,NULL,Nate Marquardt,CB Dollaway
UFC on FOX: Dos Anjos vs. Cowboy 2,http://www.fightmetric.com/fight-details/b26ec098a5a57401,NULL,Valentina Shevchenko,Sarah Kaufman
UFC on FOX: Dos Anjos vs. Cowboy 2,http://www.fightmetric.com/fight-details/7c883cf0b5eedc59,NULL,Tamdan McCrory,Josh Samman
UFC on FOX: Dos Anjos vs. Cowboy 2,http://www.fightmetric.com/fight-details/0ad5c6752e679de5,NULL,Nik Lentz,Danny Castillo
UFC on FOX: Dos Anjos vs. Cowboy 2,http://www.fightmetric.com/fight-details/b2857e799319f931,NULL,Cole Miller,Jim Alers
UFC on FOX: Dos Anjos vs. Cowboy 2,http://www.fightmetric.com/fight-details/2f0bfdc3c325662d,NULL,Kamaru Usman,Leon Edwards
UFC on FOX: Dos Anjos vs. Cowboy 2,http://www.fightmetric.com/fight-details/e1ec8774466db669,NULL,Vicente Luque,Hayder Hassan
UFC on FOX: Dos Anjos vs. Cowboy 2,http://www.fightmetric.com/fight-details/f7fd4b82e827c9c4,NULL,Francis Ngannou,Luis Henrique
UFC 194: Aldo vs McGregor,http://www.fightmetric.com/fight-details/b302e12550278ffd,"16,516",Conor McGregor,Jose Aldo
UFC 194: Aldo vs McGregor,http://www.fightmetric.com/fight-details/ff389a4326fc9255,"16,516",Luke Rockhold,Chris Weidman
UFC 194: Aldo vs McGregor,http://www.fightmetric.com/fight-details/f83c6bdd553b5851,"16,516",Yoel Romero,Jacare Souza
UFC 194: Aldo vs McGregor,http://www.fightmetric.com/fight-details/8fe1859721e95ce3,"16,516",Demian Maia,Gunnar Nelson
UFC 194: Aldo vs McGregor,http://www.fightmetric.com/fight-details/3b321550c8b4aae6,"16,516",Max Holloway,Jeremy Stephens
